Description,Price
BIT DRL 145X3.2X4.5X6.5 ,664.25
ELECTRODE ECG ADULT     ,9.5
GRAFT BN PRGNX DBM 2.5ML,3000
TOPIRAMATE TAB 25 MG    ,16.16
PHENYTOIN TAB 50 MG     ,32.33
ADAPTER TPR SHLDR 8MM   ,2655
PLT NEUTRALIZATION      ,462.83
RUSSELL VIPER DILUTED   ,462.83
TOTAL PROTEIN CSF QN    ,370.26
LEVOFLOXACIN TAB 750 MG ,244.27
DURAGESIC-25 PATCH      ,220.93
FENTANYL 50 MCG PATCH   ,274.82
FENTANYL-75 PATCY       ,299.95
FENTANYL 100MCG PATCH   ,420.3
SCREW BNE 1/8X20 ENC    ,852.5
POTASSIUM UR            ,329.53
PRED FORTE 1% 5ML       ,267.62
HAM TEST                ,901.59
LEAD URINE              ,542.44
PSEUDOCHOLINESTERASE    ,20.36
STEM FEM CMNT 9MM       ,11200
DUP AO/IVC/IV/BPG COMP  ,1577.88
INSERT TIB LT PCL SUB   ,4675
DSMT INDIVIDUAL EA 30MIN,219.01
VANCOMYCIN QUANT        ,370.26
ESTRADIOL TAB 1 MG      ,37.7
ME-TEETOS/ESTRO EST HS ,30.52
BIT DRILL 2.0MMX24MM EPS,1669.5
GUIDEPN ARTHSCP PRSTP SM,393.75
STAPLER BN CMPR 20X20MM ,12431.25
COMPNT SBTALR ANKL 14X8 ,11737.5
HEAD FEM HIP 6565-0-436 ,6375
CAFFEINE QN             ,433.21
MUL SLEEP LATENCY       ,6021.06
SCREW 3.5X28 TITN ALPHA ,2800
DINOPROSTONE 10MG SUPP  ,2629.57
CATH ANG MPA CRV 5F 65CM,540.5
MEPIVACAIN 2% 20 ML INJ ,106.11
CLAMP ADJOPN MRI SF EXFX,4821.25
SYSTEM PNEUMOTHORAX     ,809.25
DRSNG HDRCLD AQCL 45X2CM,111.25
ISUPREL 1:5000 5ML     ,150.88
BUPIVICAINE 30 ML INJ   ,330.5
NEO-SYNEPH 1/4% 30ML    ,41.31
NEO-SYNEPH 1/4% 20ML    ,41.31
NEO-SYNEPH 1/2% 30ML    ,41.31
NEO-SYNEPH 1/2% 15ML    ,41.31
PLAQUENIL TAB 200MG     ,30.52
LEFLUONMIDE 10 MG       ,88
DAPSONE TAB 25 MG       ,25.14
LEVOPHD .1% 4ML AMP     ,154.45
PRE-ECLAMPTIC THERAPY   ,1024.73
SCREW CANN 6.5X70X32MM  ,2802.75
TUBE EAR WHT 3MM 1.27MM ,72.25
LYMPHAZURIN 1% 5ML      ,765.15
KIT REPR PERC SUT       ,8040
SPACER FEM 7MM INTSPC SH,25674.25
K PHOSPHATE 15MMP VL    ,44.91
COCAINE 4% 4ML SOL      ,484.89
ALBUTEROL TAB 2 MG      ,30.52
SCREW BN CANC 2.5X14    ,739.25
 SCREW BN CANC 2.5X18   ,739.25
SCREW BN CANC 2.5X26    ,739.25
INTRDCR CATH 45CM 5FR   ,1354.5
INTRO SHTH 5FR 45CM     ,459
GRAFIX PRIME 1 SQ CM    ,4620
BUMEX TAB 0.5 MG        ,21.55
CMPNT TIB TRAY SZ D RT  ,12400
NEPHROS UP TO 2CM       ,9193.96
NEPHROS >2 CM           ,12457.06
STNT LBRT RX 2.75X12    ,5605
COMPNT FLEX REV LO 1.5MM,10700
STNT LBRT RX 3X12       ,5605
CULTURE TISSUE          ,514.67
GRAFT LINK CNSTRCT 60-80,15187
STNT LBRT RX 3.5X12     ,5605
STNT LBRT RX 4X12       ,5605
STENT LBRT RX 4.5X12    ,5605
STENT LBRT RX 5X12      ,5605
GENTAMICIN TROUGH QN    ,647.97
C DIFFICILE TOXIN AG EIA,552.01
AMYLASE                 ,490.6
STNT LBRT RX 6X13       ,5605
DRESSING AQCL AG X 6X6IN,82.75
AVITENE 1.0 GM          ,420
STENT LBRT RX 14X6      ,5605
STNT LBRT RX 14.5X6     ,5605
STENT LBRT RX 15X6      ,5605
STNT LBRT RX 2.75X20    ,5605
HCG QUALITATIVE SERUM   ,418.4
STNT LBRT RX 3X20       ,5605
HIBVAC PRP-OMP 3DOSE M  ,346.01
CLOTRMZL TROCHE 10MG    ,41.31
THIOTHIXENE CAP 1 MG    ,44.91
FLURBIPRFN DPS 2.5ML    ,377.19
HYOSCYAMINE  0.125 MG/ML,19.76
STNT LBRT RX 3.5X20     ,5605
IMIPRAMINE TAB 25 MG    ,30.52
ESTROGEN CONJ V CREAM   ,307.14
ESTROGEN CONJ 25 MG INJ ,1274.9
VERAPAMIL TAB 80 MG     ,30.52
VERAPAMIL TAB 120 MG    ,37.7
NDL ELEC CRANIAL UNI    ,403.77
FLUPHENAZINE TAB 1MG    ,30.52
MEDRXYPROGST TAB 2.5    ,11.56
VALVE SHNT DLT CSF REG  ,10064
ALCOHOL DHYD 1ML AMP    ,186.81
TRANSDERM-SCOP 1 DIS    ,82.61
LABOR SERVICE OBSV MAX  ,5456.89
STENT LBRT RX 5X20      ,5605
CATH ADMXTRM 4X150 130CM,11625
STEM KN 130MM 20/16MM   ,15966.25
TRAY CATH 4FR 1LUM MDLN ,1396.5
MILRINONE LAC 10 MG INJ ,45.98
MILRINONE LAC 20 MG BAG ,1683.95
SOD CHL 0.45% 100 ML    ,225.97
SOD CHL 0.45% 50 ML     ,225.97
STNT LBRT RX 24X2.75    ,5605
CIPROFLXCN OPH DP 2.5 ML,247.86
TOOL DRL DSCT 9CM 25.4MM,1050
SOD CHL 0.9 3000 ML IRR,39
MESALAMINE TAB 400 MG   ,30.52
MESALAMIN REC SUP 1000MG,62.88
MESALAMINE ENM 4 GM     ,224.53
ROOM CORRECT MED P      ,1793.36
ROOM CORRECT MED SP     ,1793.36
ROOM CORRECT SURG P     ,1793.36
ROOM CORRECT SURG SP    ,1793.36
ROOM CORRECT PCU        ,2892.29
ROOM CORRECT CCU/ICU    ,4089.02
ROOM CORRECT SRMH P     ,4096.6
ROOM CORRECT SRMH SP    ,4096.6
ROOM CORRECT OB SP      ,1642.1
ROOM CORRECT OB P       ,1642.1
ROOM CORRECT NB 1       ,900.4
ROOM CORRECT NB 2       ,2287.42
ROOM CORRECT NEO TRAN   ,2199.74
ROOM CORRECT NICU TRAN  ,3738.83
ROOM CORRECT NB ICU     ,4682.4
ROOM CORRECT REHAB      ,2242.65
ROOM CORRECT ORTHO-SPINE,1793.36
ROOM CORRECT ORTHO-SPINE,1793.36
ROOM CORRECT EICU       ,1793.36
ROOM CORRECT PREADMIT   ,1535.23
ROOM CORRECT LDU        ,1642.1
ROOM CORRECT PSY WEST   ,4096.6
ROOM CORRECT PSY-NORTH  ,4096.6
ROOM CORRECT PSY-SOUTH  ,4096.6
ROOM CORRECT-PSY-N      ,4096.6
ROOM CORRECT-PSY-S      ,4096.6
ROOM CORRECT-PSY-W      ,4096.6
ROOM CORRECT SURG ICU   ,4089.02
ROOM CORRECT SURG PCU   ,2892.29
LACTATION CONSULT       ,103.84
LACTATION EVALUATION    ,53.36
ZIPRASIDONE CAP 20 MG   ,52.09
CLOZAPINE  TAB 25 MG    ,30.52
OLANAZEPINE ZYDIS 5 MG  ,80.83
OLANZAPINE TAB 5 MG     ,71.84
OLANZAPINE INJ 10 MG VIA,129.32
QUETIAPINE TAB 25 MG    ,21.55
QUETIAPINE TAB 100 MG   ,37.7
FLUOXETINE LIQ 5ML      ,150.88
PROACTANT ALFA VL 1.5 ML,1456.69
BERACTANT 100MG VL      ,948.64
EEG REC AW & DROWSY     ,2620.16
EEG REC AW & DROWSY     ,3113.44
STENT LBRT RX 24X3      ,5605
EEG COMA OR SLEEP ONLY  ,3113.44
SCREW BN 2.7MM 22MM LOPR,1650
CTHDX IMG2 5F 038 BRN65 ,120.75
PHENYTOIN DILANTIN FR QN,185.14
SSKI SOL 30ML           ,88
SP ANGIO EXT UNI        ,754.16
CATH ART LN 110CM 5FR   ,322
STNT LBRT RX 24X4       ,5605
STNT LBRT RX 24X4.5     ,5605
GLYCINE 5000ML BAG      ,360.55
KIT ASCP TRNSFX SHLDR   ,3357.5
STENT LBRT RX 24X5      ,5605
LINER ACTB 10D 28X50    ,4675
LINER ACTB 10D 28X50    ,4675
TRANSDERM-NITRO 15MG    ,30.52
BUPIVICAINE 0.25% 10ML V,154.45
BUPIVICAINE 30 ML INJ   ,19.58
HUMULIN-N U-100 1ML     ,57.47
CUTIMED OFF-LOADER 2X2  ,797
PLATE 2.4 VA-LCP 2-CLMN ,10949.25
LYM IG EQUINE 250 MG    ,3121.06
VARENICLINE TAB 0.5 MG  ,17.96
ROBINUL .2MG/ML 1ML     ,134.71
NDL ELEC THORACIC       ,601.37
NDL ELEC 1 EXT W/WO PA  ,790.36
NEURO JUNCTION TEST     ,618.23
NDL ELEC 3 EXT W/WO PA  ,1768.33
NDL ELEC 2 EXT W/WO PA  ,1520.6
NDL ELEC 4 EXT W/WO PA  ,2462.77
NDL ELEC NON-EXT W AMP  ,403.77
NDL ELEC PARA VEL 5 OR M,766.04
NDL ELEC PARA VEL LTD   ,766.04
C MOTOR EVOKD UPLW LIMBS,715.92
SHRT LATENCY SOMA UPLW  ,2064.8
WELLCOVORIN TAB 5 MG    ,217.33
PREDNISONE TAB 1 MG     ,21.55
PREDNISONE TAB 10 MG    ,21.55
CULTURE GENITAL         ,720.17
LIT CITRATE LIQ 8MEQ/5ML,30.52
LITHIUM CAP 300 MG      ,30.52
LITHIUM TAB CR 450 MG   ,30.52
ADRENAL FA AB QL        ,370.26
THYROGLOBULIN           ,647.97
DEVICE VASC CLOSURE 6F  ,1640
METHOHEXITAL NA 100 MG  ,359.23
STNT LBRT RX 24.5X8     ,5605
STENT LBRT RX 5X28MM    ,5605
XR UROGRAM ANTEGRADE    ,1277.84
ISOPROPYL ALCOHOL       ,457.28
DIBUCAINE INHIBITOR     ,462.83
SARNA LOTION 7.5 OZ     ,55.68
ALPHA FETOPROT AMN FL   ,501.7
STEM L75MM OD24MM HIP FL,6627.75
THEO-24 CAP 100 MG      ,21.55
THEO-24 CAP 300 MG      ,21.55
NA CHL PARTIAL 50ML     ,225.97
MACRO NITROFURADAN 100MG,41.31
LEAD ICD PLEXA PROMRI RV,25181.25
SCREW CORT AR-8935L-40  ,1342
SCREW CORT L18 OD4      ,946
LINER ACTB MED 42MM ALPH,9600
PERCEPTA MRI CRTP DEVICE,45779.5
TRAY CATH EMER CRICO 5X9,4067.75
STNT LBRT RX 2.75X8     ,5605
STNT LBRT RX 3X8        ,5605
STNT LBRT RX 3.5X8      ,5605
STENT LIBERTE RX 4.0X08 ,5605
BIT DRL FLX SCREW 25MM  ,1430.25
MRI LW JNT W/O CONT     ,5836.37
MRI LW JNT W/O CONT     ,6920.22
D25 10ML DISP SYRING    ,154.45
O.R. L&D MAJR ADD 30    ,2707.62
SODIUM HYPOCHLORITE     ,41.31
SCREW BN 3MM 34MM CANN  ,1485
CYTO FWB SMEAR & INTERP ,422.1
CARTRIDGE ESOPHYX 7.5MM ,3825
EEG CEREB DEATH         ,2508.06
IMPL NASAL LATERA ABSORB,8457.5
ORBICULARIS OCULI RFLX  ,509.29
CT MAXIFAC W/O CNT      ,3897.72
TISSUE EXPANDER 17X4CM  ,7820
KIT ARTHSCP FX TGHTRP 9M,8202.5
FUROSEMIDE TAB 40 MG    ,21.55
SCREW BN 1.5X13MM HPS   ,230
DRILL BIT 1.2MM         ,312.5
TETRACAINE OPH 0.5% 2 ML,193.98
TETRACAINE OPH 0.5% 15ML,186.81
HYGROTON TAB 25 MG      ,21.55
MRI LW JNT W/O CONT     ,6244.81
NAFCIL 1 GM DOSE        ,386.17
PLATE LOPRO 5MM OPN WDG ,10871.5
DRESSING IV CATH        ,14.25
BLDE CHSL STRT 12X40X1MM,1658.75
BRACE WLK PNEUM 01F-L   ,689.5
INTRODUCER SHTH 8FR 45CM,655.5
NORCURON 10 MG VIAL     ,467
SCREW LOPRO LCK 2.4X8MM ,1790
VIT C ASCORBIC ACID     ,1320
VITAMIN E               ,203.64
DSMOPRSN NASAL SPRAY    ,1472.84
BEDESON RESPU 0.25MG/2ML,54.27
ANCHOR SUT SWVLCK 6.25  ,5274
SERAMEBA AB QUAL        ,790.51
SHTH 038 7FR            ,733.75
BASEPLATE KN TIB TRTHLN5,8000
GELFOAM SIZE 12 7MM     ,20
CTHDX 5F 80 VIS VS      ,312.5
INTRODUCER CATH 70CM 8FR,459
LOPRESSOR 5 MG AMP      ,57.47
TERATOLA THRMBL CATH    ,4893.25
HYDROMORPHONE TAB 2 MG  ,52.09
DIET INSTRUCT 15 MIN    ,39.06
GWIRE TROCH TIP 2X55MM  ,414
SCREW 4.5MM 55MM LPRFL J,9656
HALOPERIDOL TAB 0.5MG   ,30.52
HALOPERIDOL TAB 1 MG    ,30.52
HALOPERIDOL TAB 5 MG    ,30.52
HEAD FEM +4MM 36MM HIP  ,6400
APAP300/CODN30MG TAB    ,37.7
MYSOLINE TAB 250 MG     ,21.55
MYSOLINE TAB  50 MG     ,21.55
INDERAL TAB 10 MG       ,21.55
INDERAL TAB 40 MG       ,21.55
ESTROGEN 0.3MG TAB      ,16.16
AURALGAN OTIC 15ML      ,224.53
ERYTHRMYCN 400/5 PO100ML,79
LACT RING IRR 3LT BG    ,327.33
FLUOR-I-STRIP A.T.      ,41.31
BLADE TI HELICAL 95MM   ,6789.5
BLADE ARTH H9101        ,552
SCREW 3.5X16MM PLATE    ,1720
SCREW 3.5X16MM LCK PLATE,2500
PLATE CLAVICLE LT 6H    ,14152.5
PLATE CLAVICLE RT 6H    ,14152.5
PLATE RADIUS DST LT     ,12750
SCREW BN CORT 2.8MM 16MM,990
SCREW BN CORT 2.8MM 12MM,990
SCREW BN LCK 2.8MM 10MM ,2500
WIRE FX 1.4MM KRSH      ,275
METHANOL                ,457.28
SCREW CONICAL PT 7.3 CAN,2982
AUGMENTIN TAB 500 MG    ,82.61
AUGMENTIN TAB 875 MG    ,111.37
NORMODYNE TAB 200 MG    ,41.31
NORMODYNE TAB 300 MG    ,41.31
LOTRISONE CRM 15 GM     ,158.05
TERBUTALINE TAB2.5MG    ,32.33
AMOX200/CLAV SUS 5ML    ,52.09
NAIL HUM CANN 7M 15CM   ,13843.25
NAIL HUM 7MM 19CM BLU   ,15862.25
NAIL HUM CANN 7X240     ,15399.25
NAIL IM 7MM X 260MM     ,15399.25
SYNTHROID TAB 0.05MG    ,32.33
SYNTHROID TAB 88 MCG    ,32.33
SYNTHROID TAB 0.1 MG    ,32.33
SYNTHROID TAB 112 MCG   ,32.33
