Description,Price
190X0.014 EMBOSHIELD SYSTEM,"$2,480.00 "
1ML PRECISION INJ SYRINGE BA,$400.00 
1ST ORD ARTER THOR/BRACHCEPH,"$2,600.00 "
2 X 6 CONCERTO EMBLZTN COIL,"$1,198.00 "
2 X 8 CONCERTO EMBLZTN COIL,"$1,198.00 "
"2,3-DINOR-11 BETA-PROSTAGLANDI",$265.00 
2.3X150 PROWLER + MICROCATH,"$1,589.48 "
2.4X130 PROGREAT MICROCATHETE,$550.00 
2.5 X 120 150CM CATH NANOCROS,$390.00 
2.5 X 40 150CM CATH NANOCROS,$390.00 
2.5 X 80 150CM CATH NANOCROS,$390.00 
2.5X 210 NANOCROSS PTA CATH,$500.00 
2.6 X 2.95F MICROCATHETER,"$1,768.00 "
20 F BALLOON JEJUNAL FEED TUB,$267.29 
20 F GASTROSTOMY FEED TUBE,$73.13 
20 X 15L BX NEEDLE (A.C.T.),$85.74 
20 X 40 X 0.035I HELICAL COIL,"$1,997.06 "
200/10 SYNCHRO GUIDEWIRE,"$1,012.00 "
20X 50X 150TERUMO FRAMG COIL,"$1,940.00 "
20X2 PTCA BALON CATH,$260.00 
20X3 MAVRCK PTCA BALON CATH,$260.00 
21-HYDROXYLASE,$85.00 
22FR/9FR GASTRICJEJUNAL TUBE,$447.39 
24X 70 WALLSTENT ENDOPROSTHES,"$3,378.42 "
250UM 2ML EMBOZENE MICROSP,$350.00 
2D LIM TRANSTHO ECHO W/CONTR,"$1,800.00 "
2D TEE W/CONTRAST INTER/REPT,"$2,550.00 "
2D/MODE COMPLETE W/WO RECORD,"$1,250.00 "
2ND ORD ARTER THOR/BRACHCEPH,"$2,800.00 "
2X120 150 CATH NANOCROSS,$390.00 
2X15 LEVEEN SUPER NDL ELECTROD,"$2,836.00 "
2X150 PTA DILATATION CATHETER,$500.00 
2X20L 143 MONORAIL PTA BALN,$390.00 
2X210 NANOCROSS PTA CATH,$500.00 
2X3 TARGET 360 ULTRA DET COIL,"$3,655.00 "
2X40 150 NANOCROSS 0.014 PTA,$390.00 
2X40L 145 MONORAIL PTA BALN,$390.00 
2X4CM TARGET 360 SOFT COIL,"$3,655.00 "
3 X 4 CONCERTO EMBLZTN COIL,"$1,198.50 "
3 X 8 CONCERTO EMBLZTN COIL,"$1,198.50 "
3 X120 EVERCROSS PTA BALLOON,$160.00 
3.5 5.5  EMBOLIC PROTECT SYST,"$2,738.00 "
3.5X32 CORONARY MONORAIL STEN,"$1,680.00 "
30 ATM BASIX INFLAT SYRINGE,$53.68 
30X4 MAVERICK PTCA CATH,$260.00 
3D MAPPING,"$4,800.00 "
3D RENDER W/O POSTPROCESS,"$1,000.00 "
3D RENDERING W/POSTPROCESS,"$1,200.00 "
3MAX REPERFUSION CATHETER,"$3,000.00 "
3MAX SEPARATOR,"$5,500.00 "
3MM EMBOLIC PROTECTION DEVICE,"$1,990.00 "
3-PHASE BONE SCAN,"$2,750.00 "
3RD ORD ART ABD/PEL/L EXTREM,"$5,000.00 "
3RD ORD ARTER THOR/BRACHCEPH,"$3,100.00 "
3X120 NANOCROSS PTA CATH,$390.00 
3X15 WINGSPAN STENT SYST,"$11,849.00 "
3X2.3 INTERLOCK VORTX DIAMND 2,$950.60 
3X20L 144 MONORAIL PTA BALN,$390.00 
3X40 BALLON DILAT CATH,$390.00 
3X40 EVERCROSS .035 OTW PTA,$160.00 
3X40L 146 MONORAIL PTA BALN,$390.00 
3X6 TARGET 360 ULTRA DET COIL,"$3,655.00 "
3X60 MONORAIL BALLOON CATH,$390.00 
3X6CM TARGET 360 SOFT COIL,"$3,655.00 "
3X8CM TARGET 360 SOFT COIL,"$3,655.00 "
4 FR GLIDECATH ANGLE TAPER TIP,$100.50 
4 X 65I ANGIO CATH BERN TIP,$20.00 
4 X 8 CONCERTO EMBLZTN COIL,"$1,198.00 "
4 X 90 SIDEARM INTRODUCER,$186.38 
4 X40 EVERCROSS PTA CATH,$160.00 
400UM 2ML EMBOZENE MICROSP,$350.00 
4FR INTRODUCER SET (MPIS-405),$69.00 
4FR TEMPO ANGIO DX CATHETER,$85.00 
4FR. X 65CM RIM .035 BRD. CATH,$44.00 
4X 8 IDC OCCLUSION SYSTEM,$950.60 
4X10CM EMBOLIZATION COIL,"$1,198.50 "
4X120 135  EVERCROSS .035 PTA,$160.00 
4X135 THROMBECTOMY CATH SET,"$3,400.00 "
4X20L 144 MONORAIL PTA BALN,$390.00 
4X320 EMBOLIC PROTECT DEVICE,"$1,990.00 "
4X4.1 INTERLOCK VORTX DIAMND 2,$950.60 
4X40 MONORAIL BALOON DILATN,$390.00 
4X40 NANOCROSS 0.014 PTA CATH,$390.00 
4X6 EMBOLIZATION COIL 400,"$4,436.00 "
4X60 STERLING BALLOON CATH,$390.00 
4X65I ANGIO CATH,$20.00 
4X80 EVERCROSS PTA CATH,$160.00 
4X8CM TARGET 360 SOFT COIL,"$3,655.00 "
5 PINNACLE INTRODUC W/GWR DLTR,$21.00 
5 X 45 PINNACLE DESTNT SHEATH,$154.44 
5 X 60 BALON DILAT CATH,$390.00 
5.5X 12 135CM RX STENT SYSTE,"$2,060.00 "
5.5X18 BILIARY STENT SYSTEM,"$2,060.00 "
5.5X20  STERLING DILAT CATH,$390.00 
50 CM ATHEROTOME PERIPH BALN,"$1,450.00 "
500UM 2ML EMBOZENE MICROSP,$350.00 
5F 8 DIA X4 PROFILER PTA CATH,$132.00 
5F MICRO COAXIAL INTRODUCER,$30.00 
5FR MICROPUNCTURE INTRODUCER,$92.62 
5FR VASCULAR CLOSURE DEVICE,$340.00 
5FR..035 BERENSTEIN BRD.,$30.00 
5-HIAA,$25.00 
5-HIAA PLASMA,$97.00 
5-NUCLEOTIDASE,$60.00 
5R. X  10CM  INFUSION CATHETER,$250.00 
5X 18 BILIARY STENT SYSTEM,"$2,060.00 "
5X 65I ANGIO CATH BERN TIP,$20.00 
5X100 PROTEGE EVERFLEX STENT,"$1,500.00 "
5X110 FLEXOR INTRODUCER .018,$186.38 
5X110 OPTITORQUE CORN DX CATH,$31.00 
5X120 EVERCROSS .035 PTA,$160.00 
5X120 PROTEGE EVERFLEX STENT,"$1,800.00 "
5X135 CATHETER OTW SNGL LUMEN,$260.00 
5X142 AVIATOR PLUS PTA CATH,$436.00 
5X15 CM EMBOLIZATION COIL,"$1,198.00 "
5X15 INTERLOCK OCCLUSION SYSTM,$950.60 
5X150 CATHETER OTW,$260.00 
5X15CM TARGET 360 SOFT COIL,"$3,655.00 "
5X20 EVERCROSS PTA,$160.00 
5X320 EMBOLIC PROTECT DEVICE,"$1,990.00 "
5X4 PRELUDE SHEATH INTRODUCER,$56.00 
5X40 PROTEGE PERIPHERAL STENT,"$1,500.00 "
5X5.8 INTERLOCK VORTX DIAMND,$950.60 
5X55 TRIPLEDUAL LUMEN CT,$140.00 
5X60 EVERCROSS .035 PTA CATH,$160.00 
5X65 GLIDECATH AT TIP,$100.50 
5X65 GLIDECATH COBRA 2(C2)TIP,$100.50 
5X8 OCCLUSION SYSTEM 2D,$950.60 
5X80 135 EVERCROSS PTA C,$160.00 
5X80 PROTEGE EVERFLEX STENT,"$1,500.00 "
5X90 PERFORMER INTRODUCER SET,$192.00 
6 FR ANGIOSEAL VASC CLOSURE,$358.00 
6 FR ENVOY GUIDING CATH,$677.82 
6 X 120 ANGIOJET SET,"$3,200.00 "
6 X 20 X 0.035IN HELICAL COIL,"$1,493.80 "
6 X 55CM HS MACH 1 GUIDING CAT,$160.00 
6 X10 PINNACLE INTRODUCER,$50.00 
6.5FRX75 14X4 ATLAS PTA CATH,$610.00 
6.5X30 ABSCESS DRAINAGE CATH,$116.00 
6-12 X 120 6F X100CM EN SNARE,$500.00 
6F PROTG GPS STENT,"$1,500.00 "
6FR OD OPTION VENA CAVA FLTR,"$1,500.00 "
6FR X 55CM RDC GUIDING,$160.00 
6FR X 55CM RES GUIDING,$160.00 
6FR. X 55CM C 2 GUIDING CATH,$160.00 
6FR. X 55CM RE-SS GUIDING,$160.00 
6FR. X 90CM ST GUIDING CATH,$160.00 
6FR/7FR VASCULAR CLOSURE DEVI,$340.00 
6FRX95 NEURON CATH STRAIGHT,"$1,310.00 "
6-METHYL THIOGUANINE,$110.00 
6MM AMPLATZER VASCULAR PLUG 2,"$1,696.00 "
6MM EMBOLIC PROTECTION DEVICE,"$2,600.00 "
6X10 OCCLUSION SYSTEM 2D,$950.60 
6X100 PROTEGE PERIPHERAL STEN,"$1,500.00 "
6X120 135 EVERCROSS .035 PTA,$160.00 
6X120 PROT.G. PERIPHL STENT,"$1,500.00 "
6X120 PROTEGE EVERFLEX S,"$1,800.00 "
6X135 PRECISE NITINOL STENT,"$2,640.00 "
6X15 135CM RX BILIARY STENT,"$2,060.00 "
6X150 MICROCATHETER STRAIGH,"$1,874.40 "
6X150 PROTEGE STENT SELFEXPAND,"$1,990.00 "
6X18RX HERCULINK BILIAR STENT,"$2,060.00 "
6X20 135 EVERCROSS PTA,$160.00 
6X20 EMBOLIZATION COIL,"$1,198.50 "
6X20 STERLING BALN DILAT CATH,$580.00 
6X25 PINNACLE MARKER INTROD,$138.00 
6X30 PROTEGE PERIPH STEN,"$1,500.00 "
6X320 EMBOLIC PROTECT DEVICE,"$1,990.00 "
6X4 PRELUDE SHEATH INTRO,$56.00 
6X40 135 EVERCROSS PTA C,$160.00 
6X40 PRECISE PRO RX NIT STENT,"$2,640.00 "
6X40 PROTEGE PERIPH STEN,"$1,500.00 "
6X45 PINNACLE GUID SHEATH,$154.44 
6X45 PINNACLE GUIDING SHEATH,$154.44 
6X60 BALLON DILAT CATH,$390.00 
6X60 EVERCROSS .035 PTA,$160.00 
6X80 PERIPHERAL STENT,"$1,500.00 "
6X90 NEURON MAX CATH,$970.00 
6X90 PINNACLE SHEATH W/DILAT,$226.00 
7 FR NITINOL TRANSHEP BILIARY,"$1,630.00 "
7 X10 PINNACLE W/ 2.5CM,$50.00 
700UM 2ML EMBOZENE MICROSP,$350.00 
7FR SMART TRANS BILIARY STENT,"$1,630.00 "
7FR.X90CM MP 2 GUIDING CATH,$160.00 
7X 100 PROTEGE EVERFLEX  STENT,"$1,500.00 "
7X150 PROTEGE STENT SELFEXPAND,"$1,990.00 "
7X18 HERCULINK BILIARY STENT,"$2,060.00 "
7X20 EVERCROSS .035 OTW PTA,$160.00 
7X20 MONORAIL BLN DILATN CATH,$390.00 
7X30 EMBOLIZATION COIL,"$1,198.50 "
7X60 BALLON DILAT CATH,$390.00 
7X60 CVC  DUAL LUMEN EA,$550.00 
7X90 VTBL VISTA BRITE CATH,$110.60 
8 F ANGIO-SEAL VC DEVICE,$370.00 
8 FR DIGNITY IMPLANTABLE PORT,$390.00 
8 FX 90 VISTA BRITE GUIDE CATH,$110.60 
8 X 20 PENUMBRA EMBLZTN COIL,"$4,692.00 "
8 X 22  NEPHROURETERAL  STENT,$197.46 
8 X 40 PROTEGE STENT SYSTEM,"$1,500.00 "
8 X 59 ICAST COVERED STENT,"$5,550.00 "
8-6 X 40 XACT CAROTID STENT,"$3,500.00 "
8CM V18 STEER GUIDEWIRE ICE,$150.00 
8FR GUARDN VALVE INSER TOOL,$70.00 
8X 25 EXODUS DRAINAGE CATH,$131.84 
8X17 BILIARY STENT SYSTEM,"$1,500.00 "
8X20 80 EVERCROSS PTA,$160.00 
8X20 STERLING MONORAIL CATH,$390.00 
8X20X0.035 CUBED HELICAL COIL,"$1,493.80 "
8X21 135CM CAROTID WALLSTENT,"$4,390.00 "
8X38 ICAST PTFE COVERED STENT,"$4,738.00 "
8X38 STENT PFTE CVD STENT SYST,"$4,738.00 "
8X40 EVERCROSS .035 PTA,$160.00 
8X40 PRECISE PRO RX STENT,"$2,640.00 "
8X60 EVERCROSS .035 PTA,$160.00 
9 X 25 PENUMBRA EMBLZTN COIL,"$4,784.00 "
900UM 2ML EMBOZENE MICROSPH,$490.00 
9-15X120 EN SNARE 6X100 CATH,$500.00 
9X 40 PRECISE STENT SYSTEM,"$2,640.00 "
9X 59 ICAST PTFE STENT,"$5,106.00 "
9X135 PRECISE PRO RX NITINOL,"$2,640.00 "
9X20 EVERCROSS .035 PTA,$160.00 
9X40 80 EVERCROSS PTA C,$160.00 
A SUBGROUPING,$300.00 
A. PULLULANS IGE,$35.00 
AB IDENTIFICATION PANEL STUDY,$700.00 
AB SCREEN,$70.00 
AB SCREEN,$130.00 
ABACAVIR SOLN 300MG/15ML UD,$1.23 
ABACAVIR TAB 300 MG,$4.25 
ABACAVIR/LAMIV 600/300MG TAB,$9.60 
ABATACEP 250MG IV SOL,$97.25 
ABDOM PARACENTESIS WITH RAD,"$1,800.00 "
ABDOMEN SURGERY UNLISTED PROC,"$3,900.00 "
ABDOMIN PARACENTESIS W/O RAD,"$1,200.00 "
ABI REST EXCERISE/TOE PRESSURE,$945.00 
ABL KINASE DOMAIN MUTATIO CML,$530.00 
ABL1 T3151 MUTATION BCR,$375.00 
ABLATE HEART AV DYSRHYT FOCUS,"$9,000.00 "
ABLATION BONE TUMORS PERQUTAN,"$8,500.00 "
ABORTED CASE BEFORE ANES ADMIS,"$1,400.00 "
ABREVA CREAM 10% 2G TUBE,$41.08 
ABSCESS CATHETER CHANGE,"$2,700.00 "
ABSCESS CATHETER CHECK,"$1,200.00 "
ABSOLUTE CD4/CD8 CNT,$200.00 
ABUTMENT MULTI UNIT 3MM RP,$216.00 
ACAMPROSATE 333MG TABLET UD,$1.90 
ACANTAMOEBA CULTURE,$160.00 
ACCES SUPRAPUBIC PEEL  SET,$194.34 
ACCESS PERCUTANEOUS NEFF SS,$123.54 
ACCESS PLATFORM GELPNT PATH,"$1,450.00 "
ACCOLADE EL DR PACEMAKER,"$8,456.00 "
ACCOLADE SR PACEMAKER,"$5,500.00 "
ACE CSF,$60.00 
ACETAMINOPH ELIXIR 160MG/5ML,$0.40 
ACETAMINOPHEN 1000/100 BU10MG,$0.75 
ACETAMINOPHEN 120MG SUPP,$0.43 
ACETAMINOPHEN 325MG SUPP,$1.60 
ACETAMINOPHEN 325MG TAB,$0.25 
ACETAMINOPHEN 500MG TAB,$0.25 
ACETAMINOPHEN 650MG SUPP,$0.45 
ACETAMINOPHEN 80MG SUPP,$1.60 
ACETAMINOPHEN ELIXIR 650MG/20,$3.75 
ACETAMINOPHENANAL NONOPIO 1-2,$84.00 
ACETAZOLAMIDE 250MG TAB,$3.10 
ACETAZOLAMIDE 500MG SR CAP UD,$2.58 
ACETAZOLAMIDE 500MG VIAL,$29.20 
ACETAZOLAMIDE SERUM,$93.00 
ACETYLCHOLINE BINDING AB,$59.00 
ACETYLCHOLINE BLOCKING AB,$55.00 
ACETYLCHOLINE REC.AB. MODULATI,$408.00 
ACETYLCYSTEINE 600 MG CAP,$0.41 
ACETYLCYSTEINE INHAL 20%1GM,$14.60 
ACETYLCYSTEINE INJ 200MG/ML 30,$2.50 
ACHIEVE CABLE,$450.00 
ACHIEVE MAPPING CATH,"$1,800.00 "
ACID FAST SMEAR,$70.00 
ACID FAST STAIN,$70.00 
ACID LABILE SUBUNIT,$75.00 
ACITRETIN CAP,$66.75 
ACL GRAFT KNIFE 10MM,$179.40 
ACNE SURGERY,$400.00 
ACOUSTIC IMMITANCE TESTING,$215.00 
ACOUSTIC REFL THRESHOLD TST,$90.00 
ACTH,$180.00 
ACTIN IGA F-ACTIN,$81.00 
ACTIVATED CHARCOAL USP,$55.83 
ACUITY WHISPER GUIDE WIRE,$280.00 
ACUITY X4 VENTR LEAD,"$3,600.00 "
ACUTE GI BLOOD LOSS IMAGING,"$1,300.00 "
ACUTE HEPATITIS PANEL,$280.00 
ACYCLOVIR 200MG CAP UD,$0.09 
ACYCLOVIR 800MG TAB UD,$0.50 
ACYCLOVIR HPLC,$125.00 
ACYCLOVIR ORAL SUSP (200MG/5ML,$2.07 
ACYCLOVIR ORAL SUSP 200MG/5ML,$2.06 
ACYCLOVIR SODIUM 50MG/BU 5 MG,$0.08 
ACYLGLYCINE QNT UR,$306.00 
ADACEL TDAP VACCINE 7YRS > IM,$82.03 
ADALIMUMAB 40MG/0.8ML BD 20MG,"$2,830.65 "
ADAMTS13 ACTIVITY  INHIBITOR,$254.00 
ADAPTA DR NRR PACEMAKER,"$7,200.00 "
ADAPTA DR PACEMAKER VAR SIZE,"$7,200.00 "
ADAPTA SR PACEMAKER VAR SIZE,"$5,500.00 "
ADAPTER FEM OFST 4MM TRTHLN,"$1,832.60 "
ADAPTER LOCKING TITANIUM 2PC,$280.14 
ADAPTER UROLOCK,$42.00 
ADAPTER Y .11844.86,$44.86 
ADAPTER/CONNECT TUBE CHECKFLO,$464.00 
ADAPTOR NEUROSTIM 2X4 ACTIVA,"$1,880.00 "
ADAPTOR Y NAMIC INTER THRD,$64.00 
ADD ABDOM/PELV/LOW EXTRM ART,"$4,000.00 "
ADD. PATHOGENS,$120.00 
ADDL ARTER THOR/BRACHIOCEPH,"$1,000.00 "
ADDL ICC ABLAT L/R TX ATR FIB,"$8,000.00 "
ADENO (AB),$70.00 
ADENOCARD IV INFUSION,"$1,200.00 "
ADENOSINE 3 MG/ML 4ML IV,$0.95 
ADENOSINE DEAMINASE BLOOD,$153.00 
ADENOSINE DEAMINASE CSF,$175.00 
ADENOSINE DEAMINASE PARICARDI,$50.00 
ADENOSINE DEAMINASE PERITONEA,$140.00 
ADENOSINE DEAMINASE PLEURAL,$140.00 
ADENOSINE INJ 6MG THERAPEUT,$0.60 
ADENOSINE INJ BU 1MG,$0.60 
ADENOSINE INJ DIAGN BU 1MG,$0.60 
ADENOSINE INJ DX BU 1MG,$0.60 
ADENOVIRUS AG DFA,$60.00 
ADENOVIRUS CULTURE,$225.00 
ADENOVIRUS QNT PCR UR,$320.00 
ADENOVIRUS QUANT PCR,$320.00 
ADENOVIRUS QUANT PCR STOOL,$187.00 
ADHESIVE SKIN 1 X0.5 ASCLP,$39.00 
ADHESIVE SKIN DERMABOND 0.7ML,$33.48 
ADHESIVE SKIN HISTOACRYLFP,$39.00 
ADHESIVE SYRINGE 10ML BIOGLUE,"$1,480.00 "
ADMIN HEPATITIS B VACCINE,$17.85 
ADMIN HEPATITIS B VACCINE,$80.00 
ADMIN INFLUENZA VIRUS VAC,$80.00 
ADMIN INFLUENZA VIRUS VACCINE,$17.85 
ADMIN INFLUENZA VIRUS VACCINE,$80.00 
ADMIN PNEUMOCOCCAL VACCINE,$17.85 
ADMIN PNEUMOCOCCAL VACCINE,$80.00 
ADMINISTRATION PART D VACCINE,$120.00 
ADMINISTRATIVE PNEUMOCOCCAL -,$80.00 
ADMIRAL DE BALLOON IN PACT,"$3,848.00 "
ADRENAL IMAGE CORTEX/MEDULLA,"$2,600.00 "
ADRENALIN EPINEPH INJ BU0.1MG,$3.50 
ADVATE    W/BAX NYBC,$3.05 
ADVATE BAXJECT FACT VIII PHS,$3.30 
ADVATE UNIT BU 1IU,$3.33 
ADVISA DR PACEMAKER VAR SIZE,"$9,200.00 "
ADVISA SR MRI PACEMAKER,"$8,900.00 "
ADVNCD CARE PLAN 30 MIN,$275.00 
ADVNCD CARE PLAN ADDL 30 MIN,$200.00 
ADYNOVATE FACTOR VIII IU PHS,$4.23 
AEROSOL INHAL TRMT PENTAMINE,$650.00 
AEROSOL INTRAPLEUR SCLEROSOL,$239.00 
AFB CULTURE,$140.00 
AFB CULTURE BLOOD,$140.00 
AFB CULTURE CSF,$140.00 
AFLIBERCEPT ZALTRAP V100BU1MG,$20.00 
AFLIBERCEPT ZALTRAP V200BU1MG,$20.00 
AFP-L3% (SERIAL MONITOR),$207.00 
AFSTYLA RECOM FACTVIII IU PHS,$3.26 
AGALSIDASE B FABRAZYM5MGBU1MG,$333.32 
AGILIS NXT INTRODUCER VAR SIZE,"$1,126.00 "
AGILIS NXT STEER INTRODUCER,"$2,300.00 "
AIGISRX MESH ENVELOPE MED,"$1,990.00 "
AIRWAY RESISTANCE OSCILLOMETR,$620.00 
AKWA TEAR OPTHALMIC OINT 3.5GM,$1.93 
AL/MG HYDROX SIMETH ORAL SUSP,$0.29 
ALBENDAZOLE 200MG TAB,$180.64 
ALBUMIN (HUMAN) 5% 250ML,$94.13 
ALBUMIN CSF,$51.00 
ALBUMIN FLUID,$51.00 
ALBUMIN HUMAN 25% 50ML,$94.13 
ALBUMIN HUMAN 5% 250 ML,$91.30 
ALBUMIN OTHER SOURCE,$51.00 
ALBUMIN PERITONEAL,$51.00 
ALBUMIN SERUM,$40.00 
ALBUMIN SERUM ASSAY,$40.00 
ALBUTEROL 1.25MG/3ML NS SOLUT,$1.35 
ALBUTEROL 2.5MG/ NSS 3ML,$0.43 
ALBUTEROL SULFATE 2 MG 5 ML S,$26.83 
ALBUTEROL SULFATE 2.5MG/0.5ML,$0.80 
ALBUTEROL TAB,$7.79 
ALBUTEROL TAB,$7.91 
ALCOHOL QUANT SERUMALCOHOLS,$40.00 
ALCOHOL/DRUG SCREENING,$175.00 
ALCOHOL/DRUG SERVICE 15 MIN,$150.00 
ALDER IGE,$35.00 
ALDESLEUKIN INJ (22MU),"$9,114.68 "
ALDOLASE,$67.00 
ALDOSTERONE,$120.00 
ALDOSTERONE URINE,$68.00 
ALEMTUZUMAB 10MG CAMPATH FREE,$0.01 
ALFUZOSIN EXT REL 10MG TAB UD,$0.25 
ALGINATE LMPRS MANDIBLOE MAXIL,$700.00 
ALK. PHOS. ISOENZYME,$49.00 
ALK.PHOSPHATE-BN SPEC,$60.00 
ALL ADULT 7 BCR-ABL CEP9/9P21,$180.00 
ALL PEDIATRIC 10 PROBES BCR-AB,$400.00 
ALLERG FOOD FLAXSEED/LINS IGE,$35.00 
ALLERGEN F309 WALLEYE PIKE,$35.00 
ALLERGEN F34 HALIBUT,$60.00 
ALLERGEN FOOD CUMIN SEED IGE,$60.00 
ALLERGEN FOOD FLOUNDER PLAICE,$35.00 
ALLERGEN FOOD LEMON,$60.00 
ALLERGEN FOOD WATERMELON,$35.00 
ALLERGEN FUNGI/MOLD CEPHALOSP,$35.00 
ALLERGEN OCCUPATIONAL LATEX,$35.00 
ALLERGEN RAST- DUCK FEATHERS,$35.00 
ALLERGEN RAST TURKEY FEATHER,$35.00 
ALLERGEN SPECIFIC IGE,$35.00 
ALLERGEN SUMMER SQUASH IGE,$35.00 
ALLERGEN-COCONUT,$60.00 
ALLERGENS,$60.00 
ALLERGENS-EGG WHITE,$60.00 
ALLERGENS-WHEAT,$60.00 
